时间段(Epoch),分期阶段代码,对应睡眠状态
1,0,Wake(清醒)
2,0,Wake(清醒)
3,0,Wake(清醒)
4,0,Wake(清醒)
5,0,Wake(清醒)
6,0,Wake(清醒)
7,0,Wake(清醒)
8,0,Wake(清醒)
9,0,Wake(清醒)
10,0,Wake(清醒)
11,0,Wake(清醒)
12,0,Wake(清醒)
13,0,Wake(清醒)
14,0,Wake(清醒)
15,0,Wake(清醒)
16,0,Wake(清醒)
17,0,Wake(清醒)
18,0,Wake(清醒)
19,0,Wake(清醒)
20,0,Wake(清醒)
21,0,Wake(清醒)
22,0,Wake(清醒)
23,0,Wake(清醒)
24,0,Wake(清醒)
25,0,Wake(清醒)
26,0,Wake(清醒)
27,0,Wake(清醒)
28,0,Wake(清醒)
29,0,Wake(清醒)
30,0,Wake(清醒)
31,0,Wake(清醒)
32,0,Wake(清醒)
33,0,Wake(清醒)
34,0,Wake(清醒)
35,0,Wake(清醒)
36,0,Wake(清醒)
37,0,Wake(清醒)
38,0,Wake(清醒)
39,0,Wake(清醒)
40,0,Wake(清醒)
41,0,Wake(清醒)
42,0,Wake(清醒)
43,0,Wake(清醒)
44,0,Wake(清醒)
45,0,Wake(清醒)
46,0,Wake(清醒)
47,0,Wake(清醒)
48,0,Wake(清醒)
49,0,Wake(清醒)
50,0,Wake(清醒)
51,0,Wake(清醒)
52,0,Wake(清醒)
53,0,Wake(清醒)
54,0,Wake(清醒)
55,0,Wake(清醒)
56,0,Wake(清醒)
57,0,Wake(清醒)
58,0,Wake(清醒)
59,0,Wake(清醒)
60,0,Wake(清醒)
61,0,Wake(清醒)
62,0,Wake(清醒)
63,0,Wake(清醒)
64,0,Wake(清醒)
65,0,Wake(清醒)
66,0,Wake(清醒)
67,0,Wake(清醒)
68,0,Wake(清醒)
69,0,Wake(清醒)
70,0,Wake(清醒)
71,0,Wake(清醒)
72,0,Wake(清醒)
73,0,Wake(清醒)
74,0,Wake(清醒)
75,0,Wake(清醒)
76,0,Wake(清醒)
77,0,Wake(清醒)
78,0,Wake(清醒)
79,0,Wake(清醒)
80,0,Wake(清醒)
81,0,Wake(清醒)
82,0,Wake(清醒)
83,0,Wake(清醒)
84,0,Wake(清醒)
85,0,Wake(清醒)
86,0,Wake(清醒)
87,0,Wake(清醒)
88,0,Wake(清醒)
89,0,Wake(清醒)
90,0,Wake(清醒)
91,0,Wake(清醒)
92,0,Wake(清醒)
93,0,Wake(清醒)
94,0,Wake(清醒)
95,0,Wake(清醒)
96,0,Wake(清醒)
97,0,Wake(清醒)
98,0,Wake(清醒)
99,0,Wake(清醒)
100,0,Wake(清醒)
101,0,Wake(清醒)
102,0,Wake(清醒)
103,0,Wake(清醒)
104,0,Wake(清醒)
105,0,Wake(清醒)
106,0,Wake(清醒)
107,0,Wake(清醒)
108,0,Wake(清醒)
109,0,Wake(清醒)
110,0,Wake(清醒)
111,0,Wake(清醒)
112,0,Wake(清醒)
113,0,Wake(清醒)
114,0,Wake(清醒)
115,0,Wake(清醒)
116,0,Wake(清醒)
117,0,Wake(清醒)
118,0,Wake(清醒)
119,0,Wake(清醒)
120,0,Wake(清醒)
121,0,Wake(清醒)
122,0,Wake(清醒)
123,0,Wake(清醒)
124,0,Wake(清醒)
125,0,Wake(清醒)
126,0,Wake(清醒)
127,0,Wake(清醒)
128,0,Wake(清醒)
129,0,Wake(清醒)
130,0,Wake(清醒)
131,0,Wake(清醒)
132,0,Wake(清醒)
133,0,Wake(清醒)
134,0,Wake(清醒)
135,0,Wake(清醒)
136,0,Wake(清醒)
137,0,Wake(清醒)
138,0,Wake(清醒)
139,0,Wake(清醒)
140,0,Wake(清醒)
141,0,Wake(清醒)
142,0,Wake(清醒)
143,0,Wake(清醒)
144,0,Wake(清醒)
145,0,Wake(清醒)
146,0,Wake(清醒)
147,0,Wake(清醒)
148,0,Wake(清醒)
149,0,Wake(清醒)
150,0,Wake(清醒)
151,0,Wake(清醒)
152,0,Wake(清醒)
153,0,Wake(清醒)
154,0,Wake(清醒)
155,0,Wake(清醒)
156,0,Wake(清醒)
157,0,Wake(清醒)
158,0,Wake(清醒)
159,0,Wake(清醒)
160,0,Wake(清醒)
161,0,Wake(清醒)
162,0,Wake(清醒)
163,0,Wake(清醒)
164,0,Wake(清醒)
165,0,Wake(清醒)
166,0,Wake(清醒)
167,0,Wake(清醒)
168,0,Wake(清醒)
169,0,Wake(清醒)
170,0,Wake(清醒)
171,0,Wake(清醒)
172,0,Wake(清醒)
173,0,Wake(清醒)
174,0,Wake(清醒)
175,0,Wake(清醒)
176,0,Wake(清醒)
177,0,Wake(清醒)
178,0,Wake(清醒)
179,0,Wake(清醒)
180,0,Wake(清醒)
181,0,Wake(清醒)
182,0,Wake(清醒)
183,0,Wake(清醒)
184,0,Wake(清醒)
185,0,Wake(清醒)
186,0,Wake(清醒)
187,0,Wake(清醒)
188,0,Wake(清醒)
189,0,Wake(清醒)
190,0,Wake(清醒)
191,0,Wake(清醒)
192,0,Wake(清醒)
193,0,Wake(清醒)
194,0,Wake(清醒)
195,0,Wake(清醒)
196,0,Wake(清醒)
197,0,Wake(清醒)
198,0,Wake(清醒)
199,0,Wake(清醒)
200,0,Wake(清醒)
